x_1,x_2,x_3
1.127990215658372,4.173451753560422,2.078974479418428
0.38807371685040204,1.198286594306908,5.22903572863568
5.225444555549046,1.8974810372903552,5.12138809871714
-1.1597201161430801,5.748008625131528,3.5073786142616736
1.5630229843234174,9.764970074290995,2.009047749539101
1.6334146359176973,15.179038589490531,-3.071192669881179
0.09412969307674768,14.364135692460108,-6.022206736988441
8.449595459435894,17.833837145069655,-6.062567413001255
12.841074262775027,19.81970281733303,-5.800516051098901
14.188180323853786,16.60125704043588,-2.3980890192160267
13.525592709941465,12.18168252537144,-3.0308229013344947
10.797585445998097,17.58585905683254,-4.7900916327675285
7.703413877497189,18.046083906247926,-6.58816100373507
6.565686432687977,19.545252658376292,-10.522264696152217
4.828007903155738,20.872174589086473,-9.125566515724941
11.448396344023578,17.22371762936771,-5.410626820057445
14.689986315045038,20.836040169973316,-3.985510496404796
20.402321002033993,23.485701809989315,2.523051640681375
19.218517015043563,20.553478221620193,5.286044242516818
26.342623710659886,25.80145711218673,10.657440055659816
21.71731005744899,23.798499966104192,10.684805089737598
19.87105921453786,20.17713734417618,10.070694515273846
20.74439042516229,18.02324329527149,9.54223878247666
26.931691988921344,20.28370301267446,8.891200736889903
28.204750210798995,22.292157614462873,8.56163650669372
25.265773253836194,20.88126725550891,7.96619683694313
28.666973113991222,17.791491535676453,9.570096782667413
30.80968443502514,19.61818398160948,9.426206802005629
37.36778937157848,20.678551903460335,10.13738884641175
38.38258349272353,17.444122142400992,13.05773781431129
34.758065802049984,13.499484036309639,16.931779038715963
33.383301163514666,15.036405528173646,18.629676527290346
38.03751816253087,16.248801618744217,18.51646131405959
35.25881141839287,18.187341730384667,22.955902420254073
37.53101857428998,16.2682797953566,23.899791157879246
41.105026821966575,16.111056821364432,22.15132225515639
38.24281578247307,13.267569616807375,23.43008588098353
44.701116574705516,13.660566891988552,23.7545337009371
45.31220799881296,15.412548382648957,25.62426285524374
42.44810201823643,15.586570235724798,27.12524229473879
42.89283970979224,10.780020505089468,30.852244405036874
42.47772379645174,11.115464409474464,29.9696579497197
41.27847493316128,17.90918704587203,29.777070203116455
41.567493683855055,19.376673471429708,29.39377591533776
42.54376053486074,20.382298157612198,25.422366651010293
44.03291532738761,14.764311052988496,29.540785243771086
46.756234595743074,18.63979625981389,29.41769161328995
45.5546946890379,18.612671589112225,31.298923497983075
42.60663725300551,19.34238543534042,32.925585308846635
39.71961411180663,25.1711326801811,31.384720156474202
38.96573748433281,21.551937505515326,32.851505132175326
36.86211882118355,19.217193343207903,35.94269001637096
38.446009199337425,16.710988207528104,36.088761043588676
30.89204708621474,20.487311827028506,37.98502566354458
30.187365673438524,21.660975690133036,39.694053077920195
26.953967340999665,22.76701804733519,37.70805925068671
23.055420373515737,26.535241776827853,39.59727548745393
20.202320961358524,21.684177633698543,40.984936831364976
27.327093685782593,14.587536200239636,37.85086564957885
25.708654380525754,11.897199794616016,34.476142165812774
28.947663208708775,8.310616071313113,32.097777564617985
22.136834331570697,8.658253656569407,32.38408845424986
22.223997563246424,10.67995309016075,31.359330504487637
25.63088393824616,11.226207062482516,29.574237855730082
27.308245268626997,16.075904906784082,31.134796641112107
27.979036920314815,19.45344373373054,31.736862650799385
22.784463223388414,21.278235332966837,33.009736432849905
23.485781663813004,23.473475101303546,36.44090171674362
24.802504697237968,21.691859527699023,36.366918641570294
27.022741140729742,22.543196625742432,38.04105114149124
29.795657703036426,27.84362755768094,34.390834303396666
27.309850536347973,30.169680725930075,34.71364655625864
33.053767568348775,31.468038244531037,34.660632650187374
34.67236663819666,27.469488347033213,32.60571098557282
35.82731056480881,29.120773735938076,35.07194319847342
42.33445996155023,24.27816003281123,35.21199715434745
43.615336734711946,28.135575330216128,34.57347954194615
48.48013327351702,24.59359690869314,32.81425848359255
45.66979332903581,20.731680322016864,35.263924964402946
46.90498472461408,24.439120242317603,39.037140639744365
44.861336363629015,21.286118650559324,40.32171523510262
42.15772215507342,21.370861767779513,41.043286739619774
39.49540585325704,25.076129369467605,41.11663471966849
43.839893261179306,19.909985377061428,40.673077452541406
47.36156015163647,23.797475272937263,40.12078147904059
51.33888414798819,23.455011958840828,41.33186441415703
52.94322752120693,26.83958672880775,41.754409938427756
53.72471594295187,24.198605935089436,42.575949057378864
54.3419164332896,20.63118672429051,41.288828204876815
